==攻击策略 a1（DDoS 攻击） vs 防御策略 d1（IDS/IPS 部署）
#X1,A1,D1,X1_t1,P(X1_t1|X1;A1;D1)
1,0,0,1,1
1,0,0,2,0
1,0,0,3,0
1,1,0,0,0
1,1,0,1,0.3
1,1,0,2,0.6
1,1,0,3,0.1
1,0,1,0,0.75
1,0,1,1,0.25
1,0,1,2,0
1,0,1,3,0
1,1,1,0,0.2
1,1,1,1,0.6
1,1,1,2,0.15
1,1,1,3,0.05
2,0,0,0,0
2,0,0,1,0
2,0,0,2,1
2,0,0,3,0
2,1,0,0,0
2,1,0,1,0
2,1,0,2,0.2
2,1,0,3,0.8
2,0,1,0,0
2,0,1,1,0.7
2,0,1,2,0.3
2,0,1,3,0
2,1,1,0,0
2,1,1,1,0.2
2,1,1,2,0.5
2,1,1,3,0.3
3,0,0,0,0
3,0,0,1,0
3,0,0,2,0
3,0,0,3,1
3,1,0,0,0
3,1,0,1,0
3,1,0,2,0
3,1,0,3,1
3,0,1,0,0
3,0,1,1,0
3,0,1,2,0
3,0,1,3,1
3,1,1,0,0
3,1,1,1,0
3,1,1,2,0
3,1,1,3,1

==攻击策略 a4（启停逻辑修改） vs 防御策略 d4（实施网络监控）
#X2,A4,D4,X2_t1,P(X2_t1|X2;A4;D4)
0,0,0,0,1
0,0,0,1,0
0,0,0,2,0
0,0,0,3,0
0,1,0,0,0
0,1,0,1,0.75
0,1,0,2,0.2
0,1,0,3,0.05
0,0,1,0,1
0,0,1,1,0
0,0,1,2,0
0,0,1,3,0
0,1,1,0,0.7
0,1,1,1,0.25
0,1,1,2,0.04
0,1,1,3,0.01
1,0,0,0,0
1,0,0,1,1
1,0,0,2,0
1,0,0,3,0
1,1,0,0,0
1,1,0,1,0.25
1,1,0,2,0.65
1,1,0,3,0.1
1,0,1,0,0.8
1,0,1,1,0.2
1,0,1,2,0
1,0,1,3,0
1,1,1,0,0.2
1,1,1,1,0.55
1,1,1,2,0.2
1,1,1,3,0.05
2,0,0,0,0
2,0,0,1,0
2,0,0,2,1
2,0,0,3,0
2,1,0,0,0
2,1,0,1,0
2,1,0,2,0.15
2,1,0,3,0.85
2,0,1,0,0
2,0,1,1,0.75
2,0,1,2,0.25
2,0,1,3,0
2,1,1,0,0
2,1,1,1,0.2
2,1,1,2,0.45
2,1,1,3,0.35
3,0,0,0,0
3,0,0,1,0
3,0,0,2,0
3,0,0,3,1
3,1,0,0,0
3,1,0,1,0
3,1,0,2,0
3,1,0,3,1
3,0,1,0,0
3,0,1,1,0
3,0,1,2,0
3,0,1,3,1
3,1,1,0,0
3,1,1,1,0
3,1,1,2,0
3,1,1,3,1

==攻击策略 a5（中间人攻击） vs 防御策略 d5（数据校验）
#X3,A5,D5,X3_t1,P(X3_t1|X3;A5;D5)
0,0,0,0,1
0,0,0,1,0
0,0,0,2,0
0,0,0,3,0
0,1,0,0,0
0,1,0,1,0.8
0,1,0,2,0.15
0,1,0,3,0.05
0,0,1,0,1
0,0,1,1,0
0,0,1,2,0
0,0,1,3,0
0,1,1,0,0.65
0,1,1,1,0.25
0,1,1,2,0.08
0,1,1,3,0.02
1,0,0,0,0
1,0,0,1,1
1,0,0,2,0
1,0,0,3,0
1,1,0,0,0
1,1,0,1,0.3
1,1,0,2,0.6
1,1,0,3,0.1
1,0,1,0,0.75
1,0,1,1,0.25
1,0,1,2,0
1,0,1,3,0
1,1,1,0,0.25
1,1,1,1,0.5
1,1,1,2,0.2
1,1,1,3,0.05
2,0,0,0,0
2,0,0,1,0
2,0,0,2,1
2,0,0,3,0
2,1,0,0,0
2,1,0,1,0
2,1,0,2,0
2,1,0,3,1
2,0,1,0,0
2,0,1,1,0.8
2,0,1,2,0.2
2,0,1,3,0
2,1,1,0,0
2,1,1,1,0.1
2,1,1,2,0.4
2,1,1,3,0.5
3,0,0,0,0
3,0,0,1,0
3,0,0,2,0
3,0,0,3,1
3,1,0,0,0
3,1,0,1,0
3,1,0,2,0
3,1,0,3,1
3,0,1,0,0
3,0,1,1,0
3,0,1,2,0
3,0,1,3,1
3,1,1,0,0
3,1,1,1,0
3,1,1,2,0
3,1,1,3,1

==攻击策略 a6（恶意程序植入） vs 防御策略 d6（安全审计、修复漏洞）
#X4,A6,D6,X4_t1,P(X4_t1|X4;A6;D6)
0,0,0,0,1
0,0,0,1,0
0,0,0,2,0
0,0,0,3,0
0,1,0,0,0
0,1,0,1,0.75
0,1,0,2,0.2
0,1,0,3,0.05
0,0,1,0,1
0,0,1,1,0
0,0,1,2,0
0,0,1,3,0
0,1,1,0,0.7
0,1,1,1,0.25
0,1,1,2,0.04
0,1,1,3,0.01
1,0,0,0,0
1,0,0,1,1
1,0,0,2,0
1,0,0,3,0
1,1,0,0,0
1,1,0,1,0.25
1,1,0,2,0.65
1,1,0,3,0.1
1,0,1,0,0.8
1,0,1,1,0.2
1,0,1,2,0
1,0,1,3,0
1,1,1,0,0.2
1,1,1,1,0.55
1,1,1,2,0.2
1,1,1,3,0.05
2,0,0,0,0
2,0,0,1,0
2,0,0,2,1
2,0,0,3,0
2,1,0,0,0
2,1,0,1,0
2,1,0,2,0.15
2,1,0,3,0.85
2,0,1,0,0
2,0,1,1,0.75
2,0,1,2,0.25
2,0,1,3,0
2,1,1,0,0
2,1,1,1,0.2
2,1,1,2,0.45
2,1,1,3,0.35
3,0,0,0,0
3,0,0,1,0
3,0,0,2,0
3,0,0,3,1
3,1,0,0,0
3,1,0,1,0
3,1,0,2,0
3,1,0,3,1
3,0,1,0,0
3,0,1,1,0
3,0,1,2,0
3,0,1,3,1
3,1,1,0,0
3,1,1,1,0
3,1,1,2,0
3,1,1,3,1

==攻击策略 a7（虚假指令） vs 防御策略 d7（指令验证）
#X4,A7,D7,X4_t1,P(X4_t1|X4;A7;D7)
0,0,0,0,1
0,0,0,1,0
0,0,0,2,0
0,0,0,3,0
0,1,0,0,0
0,1,0,1,0.8
0,1,0,2,0.15
0,1,0,3,0.05
0,0,1,0,1
0,0,1,1,0
0,0,1,2,0
0,0,1,3,0
0,1,1,0,0.68
0,1,1,1,0.25
0,1,1,2,0.05
0,1,1,3,0.02
1,0,0,0,0
1,0,0,1,1
1,0,0,2,0
1,0,0,3,0
1,1,0,0,0
1,1,0,1,0.2
1,1,0,2,0.7
1,1,0,3,0.1
1,0,1,0,0.75
1,0,1,1,0.25
1,0,1,2,0
1,0,1,3,0
1,1,1,0,0.15
1,1,1,1,0.6
1,1,1,2,0.2
1,1,1,3,0.05
2,0,0,0,0
2,0,0,1,0
2,0,0,2,1
2,0,0,3,0
2,1,0,0,0
2,1,0,1,0
2,1,0,2,0.1
2,1,0,3,0.9
2,0,1,0,0
2,0,1,1,0.8
2,0,1,2,0.2
2,0,1,3,0
2,1,1,0,0
2,1,1,1,0.1
2,1,1,2,0.4
2,1,1,3,0.5
3,0,0,0,0
3,0,0,1,0
3,0,0,2,0
3,0,0,3,1
3,1,0,0,0
3,1,0,1,0
3,1,0,2,0
3,1,0,3,1
3,0,1,0,0
3,0,1,1,0
3,0,1,2,0
3,0,1,3,1
3,1,1,0,0
3,1,1,1,0
3,1,1,2,0
3,1,1,3,1
    
